lookback,hidden_size,num_layers,dropout,learning_rate,batch_size,val_MAE,val_RMSE,test_MAE,test_RMSE
48,128,1,0.3,0.001,32,76.32268524169922,177.91381120854558,7.68505859375,13.863882748820652
48,64,1,0.1,0.0005,64,78.42375946044922,180.1701344389519,8.558542251586914,14.523640270572125
48,32,1,0.2,0.001,32,77.5887680053711,181.08007120470214,9.365602493286133,15.605828570632722
48,128,2,0.0,0.0001,64,80.25072479248047,182.13392222482884,9.131641387939453,15.336753353235121
48,128,2,0.3,0.0005,32,81.47511291503906,183.78587022333897,10.29254150390625,15.8822999525329
48,64,1,0.0,0.0001,32,83.7174072265625,184.2578653341561,11.0504789352417,18.180760134342567
48,64,1,0.3,0.0001,64,84.08321380615234,184.88731787902597,10.847968101501465,18.01876615747845
168,128,2,0.2,0.0005,64,84.07203674316406,187.36559766269795,11.964401245117188,17.518108481107753
