model,split,MAE,RMSE
Hourly_LSTM,val,76.32315063476562,177.91473884103868
Hourly_LSTM,test,7.68488883972168,13.863596035803456
Persistence_48h,test,14.722180869496855,23.713690238513237
Persistence_168h,test,23.878698461477985,49.247946575675364
RandomForest,test,8.037141505953878,13.257711662624754
