feature,rmse_increase,rmse_increase_std
load_forecast_mw,7.026269110046009,0.21393732885422537
forecast_gen_outage_mw_rto,2.530130280301776,0.2480566738954122
price_lag_168,0.8443230267715277,0.15627278962430194
gas_mw_lag_48,0.8237264316356127,0.05233214736851214
hydro_mw_lag_48,0.6029767180423308,0.16300799909410293
storage_mw_lag_48,0.4809313496825756,0.15199374715659866
price_lag_48,0.3398310279293006,0.08395181444119264
hour_cos,0.3193743236203706,0.062487839918289156
is_weekend,0.3077799237418102,0.039010949928994086
hour,0.2730328653100524,0.06673734861455986
coal_mw_lag_48,0.17857880880214635,0.020375647445061353
nuclear_mw_lag_48,0.09520097030077086,0.04762627712486358
hour_sin,0.08977378785675327,0.10497617348623998
multiple_fuels_mw_lag_48,0.08822949526678592,0.005695107090671237
other_renewables_mw_lag_48,0.06443680240371918,0.05671474512204253
month,0.034430276384058565,0.048646153823814056
is_holiday,-0.003292967632670951,0.011605970524274714
dow_cos,-0.006689995354763075,0.026465985161867506
oil_mw_lag_48,-0.009911107787669238,0.003265426248372724
solar_mw_lag_48,-0.019321545226700227,0.02343920535013838
price_roll_24_safe,-0.03496189604450765,0.026919490731350103
renewable_mw_lag_48,-0.0383966721267015,0.024039362058387886
wind_mw_lag_48,-0.05767681047737069,0.061313743680248924
dow_sin,-0.0961741580842433,0.02375577814334307
day_of_week,-0.09786424532979865,0.08637991814300353
