feature_group,lookback,n_features,hidden_size,num_layers,dropout,learning_rate,val_MAE,val_RMSE,test_MAE,test_RMSE
all_features,48,25,64,1,0.2,0.001,78.32535552978516,179.2671387378345,7.922883987426758,13.65661257474201
all_features,168,25,64,1,0.2,0.001,79.84830474853516,180.9124011089345,9.297008514404297,15.41329677282659
